Temperature_C,Vdc_V,Vsc_V
25,3.06,0.18
30,3.06,0.19
35,3.06,0.19
40,3.06,0.21
45,3.06,0.2
50,3.06,0.2
55,3.06,0.22
60,3.06,0.22
65,3.05,0.24
70,3.05,0.22
75,3.05,0.22
80,3.05,0.22
85,3.05,0.21
90,3.05,0.21
95,3.06,0.2
100,3.05,0.21
105,3.05,0.21
110,3.03,0.23
111,3.02,
112,3.02,
113,3.02,
114,3.01,
115,3.0,
116,2.99,
117,2.98,
118,2.97,
119,2.96,
120,2.94,
121,2.92,
122,2.85,
123,2.74,
124,2.52,
125,2.36,
126,2.32,
127,2.34,
128,2.38,
129,2.42,
130,2.45,
131,2.48,
132,2.61,
133,2.55,
134,2.57,
135,2.59,
136,2.62,
137,2.64,
138,2.66,
139,2.68,
140,2.7,
141,2.72,
142,2.74,
143,2.75,
144,2.76,
145,2.78,
146,2.79,
147,2.8,
148,2.81,
149,2.83,
150,2.83,
151,2.84,
152,2.85,
